NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
16.2,0.0,51.4,34.8,14.799999999999999,0.0,0.0,0.0
92.0,100.0,20.200000000000003,1.2,20.200000000000003,1.2,92.0,0.0
0.0,37.6,60.0,44.0,0.0,34.8,0.0,0.0
88.0,100.0,17.2,0.4,17.2,0.4,88.0,0.0
48.6,100.0,44.800000000000004,1.6,13.0,1.6,48.6,0.0
74.6,100.0,33.0,2.4,29.799999999999997,2.4,74.6,0.0
21.6,0.0,51.4,34.0,19.8,0.0,0.0,0.0
94.6,100.0,0.0,0.0,0.0,0.0,94.6,0.0
0.8,52.0,57.8,22.6,0.8,22.6,0.8,0.8
1.6,0.0,55.800000000000004,40.6,1.6,0.0,0.0,0.0
8.4,0.0,52.400000000000006,38.0,7.3999999999999995,0.0,0.0,0.0
0.0,8.200000000000001,59.199999999999996,41.199999999999996,0.0,8.200000000000001,0.0,0.0
0.0,100.0,59.0,10.6,0.0,10.6,0.0,0.0
7.3999999999999995,0.0,54.6,40.0,7.3999999999999995,0.0,0.0,0.0
0.0,100.0,61.0,14.399999999999999,0.0,14.399999999999999,0.0,0.0
2.6,100.0,56.99999999999999,9.4,0.6,9.4,2.6,0.0
87.6,92.80000000000001,24.2,0.4,22.8,0.4,81.39999999999999,0.0
33.0,0.0,49.2,22.6,25.0,0.0,0.0,0.0
0.0,100.0,66.0,13.0,0.0,13.0,0.0,0.0
14.6,56.2,53.800000000000004,15.4,12.2,15.4,6.0,0.2
0.0,35.0,60.0,41.8,0.0,32.0,0.0,0.0
26.200000000000003,0.0,50.0,31.6,22.2,0.0,0.0,0.0
15.6,0.0,51.4,34.4,14.2,0.0,0.0,0.0
0.0,0.0,62.0,56.39999999999999,0.0,0.0,0.0,0.0
17.599999999999998,0.0,51.6,37.6,16.400000000000002,0.0,0.0,0.0
61.4,100.0,46.2,5.4,31.2,5.4,61.4,0.0
0.0,0.0,62.2,54.0,0.0,0.0,0.0,0.0
0.0,0.0,57.199999999999996,41.8,0.0,0.0,0.0,0.0
64.60000000000001,0.4,41.8,8.6,32.6,0.0,0.0,0.0
7.8,9.0,52.800000000000004,25.2,6.6000000000000005,6.2,0.6,0.0
84.2,100.0,28.199999999999996,1.4000000000000001,27.400000000000002,1.4000000000000001,84.2,0.0
66.0,0.4,42.0,8.6,33.0,0.0,0.4,0.0
48.199999999999996,0.0,47.599999999999994,15.4,26.6,0.0,0.0,0.0
40.400000000000006,100.0,49.8,8.6,24.0,8.6,40.400000000000006,0.0
12.8,0.0,52.0,39.2,11.799999999999999,0.0,0.0,0.0
18.6,0.0,51.4,37.6,17.2,0.0,0.0,0.0
19.400000000000002,0.0,51.2,32.0,17.599999999999998,0.0,0.0,0.0
3.4000000000000004,0.0,54.800000000000004,39.0,3.4000000000000004,0.0,0.0,0.0
0.0,51.0,60.4,35.4,0.0,35.0,0.0,0.0
29.4,0.0,50.6,30.2,25.2,0.0,0.0,0.0
14.799999999999999,100.0,53.0,9.6,7.199999999999999,9.6,14.799999999999999,0.0
36.0,0.0,48.6,21.2,27.0,0.0,0.0,0.0
23.200000000000003,0.0,51.2,32.800000000000004,20.599999999999998,0.0,0.0,0.0
0.0,0.0,62.2,57.4,0.0,0.0,0.0,0.0
0.0,100.0,63.0,10.6,0.0,10.6,0.0,0.0
0.0,0.0,58.8,49.4,0.0,0.0,0.0,0.0
2.0,61.0,54.800000000000004,15.6,0.2,15.6,2.0,0.0
95.6,100.0,3.5999999999999996,0.0,3.5999999999999996,0.0,95.6,0.0
0.0,58.4,65.60000000000001,32.2,0.0,32.2,0.0,0.0
0.0,0.0,58.4,46.400000000000006,0.0,0.0,0.0,0.0
10.2,0.0,52.400000000000006,34.2,8.799999999999999,0.0,0.0,0.0
53.400000000000006,54.800000000000004,43.8,10.2,31.6,10.2,22.0,0.0
52.0,100.0,48.0,6.6000000000000005,28.000000000000004,6.6000000000000005,52.0,0.0
40.400000000000006,0.2,49.0,17.8,29.599999999999998,0.0,0.0,0.0
1.0,0.0,56.00000000000001,44.0,1.0,0.0,0.0,0.0
32.2,0.0,49.8,27.200000000000003,25.0,0.0,0.0,0.0
10.0,0.0,52.400000000000006,36.0,8.799999999999999,0.0,0.0,0.0
53.800000000000004,65.0,42.4,8.4,28.999999999999996,8.4,31.2,0.0
3.4000000000000004,51.800000000000004,54.6,21.8,3.0,21.8,2.4,0.8
0.0,19.8,60.199999999999996,46.400000000000006,0.0,14.799999999999999,0.0,0.0
71.2,14.799999999999999,42.6,7.3999999999999995,32.800000000000004,0.4,8.6,0.0
0.8,0.0,56.39999999999999,45.0,0.8,0.0,0.0,0.0
93.4,100.0,4.8,0.0,4.3999999999999995,0.0,93.4,0.0
12.0,0.0,53.6,39.2,11.799999999999999,0.0,0.0,0.0
50.6,0.0,45.4,16.0,31.6,0.0,0.0,0.0
23.0,0.0,50.8,34.2,20.8,0.0,0.0,0.0
28.199999999999996,20.200000000000003,47.4,11.799999999999999,12.0,3.0,2.1999999999999997,0.0
0.0,0.0,58.4,47.0,0.0,0.0,0.0,0.0
0.0,3.0,59.199999999999996,43.4,0.0,3.0,0.0,0.0
6.2,0.0,52.400000000000006,29.2,5.0,0.0,0.0,0.0
0.0,53.6,65.0,44.6,0.0,44.0,0.0,0.0
0.0,45.800000000000004,62.0,45.6,0.0,41.4,0.0,0.0
0.8,17.0,56.00000000000001,29.4,0.8,16.2,0.6,0.6
28.799999999999997,100.0,51.0,5.2,7.6,5.2,28.799999999999997,0.0
67.60000000000001,39.6,38.800000000000004,6.4,32.4,6.4,21.2,0.0
48.0,100.0,48.0,8.200000000000001,28.199999999999996,8.200000000000001,48.0,0.0
31.6,0.0,50.4,29.799999999999997,25.4,0.0,0.0,0.0
55.800000000000004,0.0,46.400000000000006,11.799999999999999,32.800000000000004,0.0,0.0,0.0
79.0,100.0,28.000000000000004,1.6,27.200000000000003,1.6,79.0,0.0
0.0,0.0,58.199999999999996,47.4,0.0,0.0,0.0,0.0
0.0,11.600000000000001,58.4,37.6,0.0,11.600000000000001,0.0,0.0
2.1999999999999997,65.0,54.800000000000004,14.6,0.6,14.6,2.1999999999999997,0.0
0.0,0.0,59.599999999999994,47.8,0.0,0.0,0.0,0.0
0.0,31.8,63.6,50.0,0.0,31.2,0.0,0.0
0.0,0.0,59.8,51.2,0.0,0.0,0.0,0.0
0.0,100.0,66.0,12.6,0.0,12.6,0.0,0.0
77.0,4.3999999999999995,29.799999999999997,7.6,28.999999999999996,0.0,1.6,0.0
0.0,60.199999999999996,65.8,28.000000000000004,0.0,28.000000000000004,0.0,0.0
50.0,0.0,45.4,17.0,30.599999999999998,0.0,0.0,0.0
0.0,0.0,57.4,41.0,0.0,0.0,0.0,0.0
52.0,21.4,44.800000000000004,11.4,32.0,4.3999999999999995,5.2,0.0
54.800000000000004,0.0,43.2,16.400000000000002,32.4,0.0,0.0,0.0
37.6,78.4,50.0,11.799999999999999,28.599999999999998,11.799999999999999,25.2,0.0
40.8,100.0,49.0,8.799999999999999,25.8,8.799999999999999,40.8,0.0
24.6,100.0,51.6,4.6,6.6000000000000005,4.6,24.6,0.0
0.0,0.0,59.8,51.800000000000004,0.0,0.0,0.0,0.0
42.8,1.7999999999999998,47.4,15.6,28.199999999999996,0.0,0.0,0.0
0.0,64.8,62.2,19.6,0.0,19.6,0.0,0.0
31.4,0.0,50.4,27.6,25.2,0.0,0.0,0.0
0.0,100.0,62.8,10.4,0.0,10.4,0.0,0.0
0.8,0.0,56.2,43.2,0.8,0.0,0.0,0.0
0.0,59.8,61.8,24.4,0.0,24.4,0.0,0.0
50.4,0.0,45.6,16.8,30.599999999999998,0.0,0.0,0.0
0.0,100.0,61.4,10.8,0.0,10.8,0.0,0.0
15.0,0.0,51.4,32.4,13.600000000000001,0.0,0.0,0.0
15.4,0.0,51.6,34.4,14.2,0.0,0.0,0.0
90.4,100.0,8.6,0.0,8.6,0.0,90.4,0.0
0.0,100.0,64.60000000000001,9.4,0.0,9.4,0.0,0.0
0.8,0.0,56.00000000000001,39.800000000000004,0.8,0.0,0.0,0.0
1.7999999999999998,0.0,55.00000000000001,39.2,1.7999999999999998,0.0,0.0,0.0
19.2,0.0,51.0,35.4,17.8,0.0,0.0,0.0
0.0,68.4,59.8,17.8,0.0,17.8,0.0,0.0
32.800000000000004,0.0,50.2,28.799999999999997,25.4,0.0,0.0,0.0
63.4,100.0,42.4,1.7999999999999998,25.4,1.7999999999999998,63.4,0.0
29.599999999999998,0.0,49.8,29.599999999999998,24.2,0.0,0.0,0.0
24.0,0.0,50.4,32.800000000000004,21.0,0.0,0.0,0.0
16.6,0.0,51.4,37.0,15.2,0.0,0.0,0.0
74.4,100.0,41.199999999999996,1.2,31.2,1.2,74.4,0.0
52.2,17.0,43.8,11.799999999999999,31.6,2.0,3.2,0.0
48.8,39.6,46.6,11.4,31.2,10.4,12.2,0.0
0.0,0.0,60.199999999999996,52.6,0.0,0.0,0.0,0.0
0.0,19.6,61.199999999999996,48.8,0.0,19.6,0.0,0.0
1.6,100.0,59.199999999999996,10.6,0.8,10.6,1.6,0.0
0.0,100.0,62.2,10.8,0.0,10.8,0.0,0.0
6.800000000000001,0.0,54.6,39.800000000000004,6.800000000000001,0.0,0.0,0.0
9.0,0.0,52.0,40.2,8.0,0.0,0.0,0.0
3.2,0.0,55.400000000000006,40.6,3.2,0.0,0.0,0.0
90.8,100.0,3.4000000000000004,0.0,3.4000000000000004,0.0,90.8,0.0
25.6,100.0,50.2,6.6000000000000005,5.800000000000001,6.6000000000000005,25.6,0.0
63.800000000000004,22.2,42.8,8.0,33.0,3.2,9.6,0.0
0.0,18.2,61.0,48.0,0.0,18.2,0.0,0.0
80.4,25.8,23.400000000000002,6.0,22.2,2.0,15.4,0.0
0.0,0.0,59.8,51.6,0.0,0.0,0.0,0.0
53.2,90.8,46.2,8.6,30.4,8.6,46.0,0.0
0.6,92.0,58.599999999999994,15.0,0.6,15.0,0.6,0.4
52.6,100.0,48.6,5.6000000000000005,28.999999999999996,5.6000000000000005,52.6,0.0
0.0,0.6,59.4,44.6,0.0,0.6,0.0,0.0
69.19999999999999,5.800000000000001,38.4,7.3999999999999995,32.2,0.2,2.1999999999999997,0.0
57.599999999999994,12.2,40.400000000000006,11.200000000000001,31.8,1.0,2.4,0.0
87.4,100.0,28.799999999999997,1.4000000000000001,28.4,1.4000000000000001,87.4,0.0
19.2,33.800000000000004,49.4,17.8,13.600000000000001,14.6,2.6,0.0
0.0,0.0,58.4,48.4,0.0,0.0,0.0,0.0
38.6,3.5999999999999996,48.6,17.4,28.4,1.0,0.4,0.0
79.0,53.6,26.0,3.8,25.4,3.5999999999999996,35.0,0.0
13.8,25.0,51.4,21.8,10.8,12.0,1.2,0.0
2.8000000000000003,27.200000000000003,53.2,25.2,1.6,19.2,1.4000000000000001,0.0
77.2,100.0,31.0,2.0,29.4,2.0,77.2,0.0
33.4,0.0,49.4,24.0,25.4,0.0,0.0,0.0
5.6000000000000005,0.0,54.6,42.199999999999996,5.6000000000000005,0.0,0.0,0.0
0.0,51.0,58.599999999999994,26.400000000000002,0.0,26.400000000000002,0.0,0.0
79.0,100.0,42.6,2.1999999999999997,33.0,2.1999999999999997,79.0,0.0
0.0,0.0,59.8,51.0,0.0,0.0,0.0,0.0
55.00000000000001,0.0,43.0,13.4,31.8,0.0,0.0,0.0
38.6,65.4,47.8,9.4,22.8,9.4,24.8,0.0
76.0,7.3999999999999995,31.6,5.4,30.0,0.0,3.8,0.0
3.2,100.0,54.400000000000006,10.2,0.2,10.2,3.2,0.0
0.0,15.6,60.0,46.6,0.0,15.6,0.0,0.0
33.0,0.0,50.2,24.6,25.8,0.0,0.0,0.0
1.7999999999999998,100.0,55.800000000000004,13.8,0.6,13.8,1.7999999999999998,0.0
3.5999999999999996,0.0,52.800000000000004,28.599999999999998,2.4,0.0,0.0,0.0
8.799999999999999,41.4,52.800000000000004,19.0,6.0,18.4,2.8000000000000003,0.2
0.6,0.0,56.00000000000001,38.0,0.6,0.0,0.0,0.0
0.0,100.0,60.8,11.4,0.0,11.4,0.0,0.0
13.600000000000001,0.0,51.6,37.6,12.4,0.0,0.0,0.0
18.4,0.0,51.6,37.6,17.2,0.0,0.0,0.0
5.800000000000001,0.0,52.6,32.6,4.6,0.0,0.0,0.0
27.800000000000004,100.0,52.0,10.4,19.8,10.4,27.800000000000004,0.0
0.0,0.0,62.0,57.4,0.0,0.0,0.0,0.0
1.6,27.400000000000002,54.2,27.200000000000003,1.0,22.400000000000002,1.2,0.4
32.4,0.0,50.4,26.400000000000002,25.4,0.0,0.0,0.0
54.6,0.0,43.0,14.399999999999999,32.0,0.0,0.0,0.0
0.0,0.0,62.0,56.2,0.0,0.0,0.0,0.0
0.4,0.0,56.00000000000001,36.199999999999996,0.4,0.0,0.0,0.0
0.0,53.2,60.0,29.2,0.0,29.2,0.0,0.0
0.0,11.0,62.6,52.400000000000006,0.0,11.0,0.0,0.0
0.0,100.0,62.4,12.6,0.0,12.6,0.0,0.0
80.2,100.0,10.0,5.2,10.0,5.2,80.2,0.0
42.6,0.0,47.599999999999994,20.4,28.199999999999996,0.0,0.0,0.0
26.6,0.0,50.2,32.2,22.6,0.0,0.0,0.0
14.6,37.4,51.2,18.6,10.0,16.400000000000002,3.8,0.0
0.0,0.0,57.199999999999996,44.4,0.0,0.0,0.0,0.0
0.0,0.0,59.8,52.800000000000004,0.0,0.0,0.0,0.0
0.0,56.2,65.2,34.8,0.0,34.8,0.0,0.0
0.8,100.0,55.400000000000006,10.6,0.8,10.6,0.8,0.0
22.8,75.0,51.0,10.4,11.600000000000001,10.4,17.599999999999998,0.0
25.2,0.0,50.4,29.4,21.4,0.0,0.0,0.0
0.0,0.0,60.4,54.0,0.0,0.0,0.0,0.0
0.0,100.0,62.2,12.2,0.0,12.2,0.0,0.0
48.4,2.0,46.0,13.600000000000001,31.2,0.0,0.0,0.0
0.0,100.0,68.0,10.2,0.0,10.2,0.0,0.0
47.599999999999994,0.0,47.0,15.0,30.4,0.0,0.0,0.0
64.60000000000001,100.0,39.2,7.6,27.800000000000004,7.6,64.60000000000001,0.0
6.2,100.0,55.400000000000006,9.6,1.0,9.6,6.2,0.0
0.0,0.0,59.199999999999996,47.199999999999996,0.0,0.0,0.0,0.0
0.0,0.0,57.199999999999996,42.8,0.0,0.0,0.0,0.0
0.0,0.6,59.599999999999994,44.6,0.0,0.6,0.0,0.0
17.8,100.0,51.2,9.6,6.2,9.6,17.8,0.0
0.8,0.0,56.2,40.0,0.8,0.0,0.0,0.0
51.4,0.0,44.4,18.6,31.6,0.0,0.0,0.0
0.0,0.0,57.4,45.2,0.0,0.0,0.0,0.0
0.0,16.6,59.8,45.4,0.0,16.6,0.0,0.0
26.400000000000002,0.0,50.2,31.2,22.2,0.0,0.0,0.0
0.0,59.0,66.0,31.2,0.0,31.2,0.0,0.0
45.0,4.3999999999999995,46.800000000000004,13.4,28.999999999999996,0.6,0.0,0.0
0.0,0.0,58.199999999999996,44.2,0.0,0.0,0.0,0.0
10.8,0.0,52.2,36.6,9.8,0.0,0.0,0.0
0.0,0.0,59.8,52.2,0.0,0.0,0.0,0.0
0.0,0.8,60.0,48.4,0.0,0.8,0.0,0.0
72.39999999999999,93.8,34.8,2.4,29.599999999999998,2.4,66.8,0.0
0.0,22.8,60.199999999999996,46.6,0.0,22.400000000000002,0.0,0.0
7.199999999999999,83.2,56.599999999999994,8.6,1.0,8.6,7.199999999999999,0.0
0.0,0.0,60.199999999999996,54.400000000000006,0.0,0.0,0.0,0.0
0.0,12.2,62.4,51.6,0.0,12.2,0.0,0.0
0.0,52.6,60.0,31.6,0.0,31.6,0.0,0.0
0.0,82.39999999999999,59.4,15.2,0.0,15.2,0.0,0.0
12.4,43.0,52.2,21.6,9.0,21.2,3.2,0.0
8.6,100.0,53.400000000000006,9.6,3.0,9.6,8.6,0.0
87.2,100.0,21.8,1.7999999999999998,21.4,1.7999999999999998,87.2,0.0
66.8,28.599999999999998,43.2,8.6,32.0,4.8,15.4,0.0
51.800000000000004,100.0,46.0,9.8,32.6,9.8,51.800000000000004,0.0
0.8,62.0,56.39999999999999,16.6,0.8,16.6,0.8,0.8
0.0,56.599999999999994,60.4,29.599999999999998,0.0,29.599999999999998,0.0,0.0
70.0,100.0,40.6,3.0,33.0,3.0,70.0,0.0
24.0,100.0,52.6,8.0,12.4,8.0,24.0,0.0
14.799999999999999,0.0,52.0,28.999999999999996,13.4,0.0,0.0,0.0
20.8,12.4,49.0,19.2,14.6,3.0,0.6,0.0
27.800000000000004,0.0,50.4,32.0,23.599999999999998,0.0,0.0,0.0
0.0,100.0,63.2,11.799999999999999,0.0,11.799999999999999,0.0,0.0
0.0,49.0,64.2,46.800000000000004,0.0,43.6,0.0,0.0
37.8,0.0,47.199999999999996,26.200000000000003,27.400000000000002,0.0,0.0,0.0
73.0,10.2,32.0,8.799999999999999,30.0,0.0,4.3999999999999995,0.0
0.0,52.400000000000006,62.2,40.2,0.0,40.2,0.0,0.0
91.60000000000001,82.39999999999999,25.6,1.4000000000000001,25.2,1.4000000000000001,74.2,0.0
0.0,0.0,59.4,50.2,0.0,0.0,0.0,0.0
0.4,100.0,58.8,9.8,0.2,9.8,0.4,0.0
71.6,22.8,41.6,7.3999999999999995,33.0,2.0,12.8,0.0
48.199999999999996,0.0,47.0,13.8,28.999999999999996,0.0,0.0,0.0
69.19999999999999,89.60000000000001,38.4,5.0,32.2,5.0,60.0,0.0
67.60000000000001,100.0,43.6,5.2,32.4,5.2,67.60000000000001,0.0
76.4,12.4,31.2,4.2,29.799999999999997,0.8,6.800000000000001,0.0
85.6,100.0,11.0,3.0,10.8,3.0,85.6,0.0
6.2,0.0,54.2,41.199999999999996,6.2,0.0,0.0,0.0
0.0,100.0,62.2,16.6,0.0,16.6,0.0,0.0
0.0,100.0,60.199999999999996,14.2,0.0,14.2,0.0,0.0
0.0,8.799999999999999,56.99999999999999,34.0,0.0,8.799999999999999,0.0,0.0
7.000000000000001,0.0,55.2,41.8,7.000000000000001,0.0,0.0,0.0
0.8,57.8,58.199999999999996,18.8,0.8,18.8,0.8,0.8
23.799999999999997,0.0,50.6,32.4,20.599999999999998,0.0,0.0,0.0
7.6,0.0,52.2,37.8,6.800000000000001,0.0,0.0,0.0
69.19999999999999,30.0,39.2,6.0,32.800000000000004,4.2,14.000000000000002,0.0
90.2,100.0,15.0,0.2,15.0,0.2,90.2,0.0
17.8,0.0,51.6,36.6,16.6,0.0,0.0,0.0
0.0,0.0,62.4,53.800000000000004,0.0,0.0,0.0,0.0
0.0,0.0,59.4,48.8,0.0,0.0,0.0,0.0
69.6,100.0,37.8,4.8,31.6,4.8,69.6,0.0
90.8,100.0,6.4,0.0,6.4,0.0,90.8,0.0
26.8,0.0,50.0,30.8,22.8,0.0,0.0,0.0
13.8,0.0,51.800000000000004,36.6,12.8,0.0,0.0,0.0
0.8,0.0,56.00000000000001,38.6,0.8,0.0,0.0,0.0
12.8,0.0,52.6,38.2,11.799999999999999,0.0,0.0,0.0
82.0,100.0,23.599999999999998,3.8,23.200000000000003,3.8,82.0,0.0
0.0,0.0,59.8,48.199999999999996,0.0,0.0,0.0,0.0
95.19999999999999,100.0,16.8,0.2,16.8,0.2,95.19999999999999,0.0
1.0,0.0,55.60000000000001,36.6,1.0,0.0,0.0,0.0
8.799999999999999,93.4,52.6,11.600000000000001,1.6,11.600000000000001,8.799999999999999,0.0
16.2,0.0,51.4,36.0,14.799999999999999,0.0,0.0,0.0
24.8,0.0,50.2,31.6,21.4,0.0,0.0,0.0
82.19999999999999,100.0,22.2,6.0,22.2,6.0,82.19999999999999,0.0
0.0,59.0,61.0,25.0,0.0,25.0,0.0,0.0
62.0,0.0,37.8,11.4,31.2,0.0,0.0,0.0
54.2,100.0,47.4,6.6000000000000005,29.4,6.6000000000000005,54.2,0.0
38.4,0.0,50.6,27.400000000000002,29.4,0.0,0.0,0.0
22.6,0.0,50.8,33.800000000000004,20.4,0.0,0.0,0.0
0.0,71.0,63.0,22.6,0.0,22.6,0.0,0.0
0.6,0.0,57.99999999999999,30.599999999999998,0.6,0.0,0.0,0.0
58.199999999999996,0.0,44.800000000000004,11.200000000000001,31.6,0.0,0.0,0.0
0.0,0.0,56.599999999999994,40.0,0.0,0.0,0.0,0.0
0.2,0.0,56.599999999999994,38.800000000000004,0.2,0.0,0.0,0.0
0.0,4.6,61.199999999999996,51.0,0.0,4.2,0.0,0.0
17.8,3.8,51.2,24.2,14.2,2.1999999999999997,0.0,0.0
78.0,25.4,39.2,5.0,32.6,1.0,17.4,0.0
0.0,0.0,60.0,53.800000000000004,0.0,0.0,0.0,0.0
0.0,0.0,58.199999999999996,46.2,0.0,0.0,0.0,0.0
0.0,0.0,56.8,43.4,0.0,0.0,0.0,0.0
30.4,0.6,50.0,20.8,23.200000000000003,0.2,0.0,0.0
0.0,0.0,60.6,51.4,0.0,0.0,0.0,0.0
0.0,0.8,62.6,53.2,0.0,0.8,0.0,0.0
0.8,71.39999999999999,58.4,15.0,0.8,15.0,0.8,0.6
63.6,100.0,41.6,2.8000000000000003,26.6,2.8000000000000003,63.6,0.0
61.8,0.0,42.8,9.4,32.0,0.0,0.0,0.0
0.8,0.0,56.2,43.0,0.8,0.0,0.0,0.0
8.0,0.0,53.6,40.8,7.6,0.0,0.0,0.0
33.4,0.0,50.2,25.2,26.200000000000003,0.0,0.0,0.0
15.2,20.8,50.2,16.400000000000002,6.4,4.3999999999999995,1.0,0.0
12.2,0.0,51.800000000000004,32.2,11.0,0.0,0.0,0.0
1.4000000000000001,0.0,55.400000000000006,36.8,1.4000000000000001,0.0,0.0,0.0
66.60000000000001,100.0,40.400000000000006,4.0,32.6,4.0,66.60000000000001,0.0
0.0,26.400000000000002,59.199999999999996,37.2,0.0,25.6,0.0,0.0
1.6,100.0,56.8,9.0,0.4,9.0,1.6,0.0
54.0,68.4,42.199999999999996,9.0,27.6,9.0,34.599999999999994,0.0
0.0,0.0,56.8,38.800000000000004,0.0,0.0,0.0,0.0
0.0,10.4,59.8,45.2,0.0,10.4,0.0,0.0
1.0,9.6,55.00000000000001,30.0,1.0,9.0,0.6,0.6
0.0,0.0,58.199999999999996,47.0,0.0,0.0,0.0,0.0
0.0,0.0,62.6,54.2,0.0,0.0,0.0,0.0
64.8,56.39999999999999,42.4,6.4,33.0,6.4,31.2,0.0
0.0,100.0,60.8,14.399999999999999,0.0,14.399999999999999,0.0,0.0
0.0,0.0,60.4,53.2,0.0,0.0,0.0,0.0
